method,seed,solution,water,deficit,excess,schedule
NSGA_II,261400,0,10.075957518804502,157.75385594924063,0.0,"[0.0, 3.700737998811594, 1.4201499718203374, 1.843537199952535, 0.6142606988549986, 0.9532636113746841, 1.0175802809555838, 0.11593492139365716, 0.17731083746187432, 0.11003111014698609, 0.055116814570383886, 0.0, 0.010215072231629216, 0.05781900123023972]"
NSGA_II,261400,1,11.714534239313862,145.3737330519146,0.0,"[0.0, 3.857591061727678, 1.302587480065558, 0.7078602181457541, 3.2935834094099823, 1.3786126669861072, 0.0, 0.33777655509567417, 0.35187756562294564, 0.26247813704630607, 0.06910377255851134, 0.04062332739102374, 0.06449073399162329, 0.047949311272696415]"
NSGA_II,261400,2,13.198805943723036,127.35791024524352,0.0,"[0.0, 6.808957862927075, 0.938685301471017, 0.9723261545198165, 2.2998973748374176, 0.04664950432511583, 0.6963009936715236, 0.7331013582463981, 0.2631450062799494, 0.10594240077593532, 0.1685074543362618, 0.12209952241587285, 0.0037724390529415884, 0.03942057086371283]"
NSGA_II,261400,3,19.403742118157147,72.65950079433966,0.0,"[0.18803455232311883, 7.779905369232203, 3.139149585737922, 1.5076755454651605, 4.301264151400906, 0.24576108685456227, 0.9912668145221393, 0.2503505108212778, 0.6010286997104861, 0.21541702900574894, 0.018137048428261974, 0.12013524810164934, 0.009783580972868447, 0.0358328955808411]"
NSGA_II,261400,4,11.104891960362446,151.63627081272682,0.0,"[1.007206885077308, 3.750418345017026, 2.1767525143053392, 0.6681879269960467, 0.0, 0.6172163892725541, 1.2690193944728922, 0.3133244164849297, 0.23614101422787995, 0.3982801475813083, 0.4348529899279053, 0.04000478626852097, 0.08290166838283065, 0.1105854823479044]"
NSGA_II,261400,5,21.0065461883985,61.82153213222524,0.0,"[1.0266256834085836, 11.401495549928322, 1.2534559021026062, 0.011313165734030852, 4.300413841701966, 0.2478869965633952, 1.201426263383162, 0.29022194629402653, 0.6304828992853235, 0.42153158863512163, 0.04659884419407186, 0.10778701336285845, 0.032974174404631545, 0.03433231940039969]"
NSGA_II,261400,6,4.770510396442479,200.08607249460846,0.0,"[1.0799004284412421, 0.37732499366741834, 0.686206684703561, 0.14583780954557013, 0.8184476214368943, 0.38121493166092363, 0.45991686693631734, 0.3369640468084809, 0.0, 0.23417693682780172, 0.0, 0.10302407024217178, 0.0587871686767086, 0.08870883749538902]"
NSGA_II,261400,7,6.869893450578253,192.57458750003693,0.0,"[1.0799004284412421, 0.37732499366741834, 0.686206684703561, 1.3959425570554271, 0.8184476214368943, 0.38121493166092363, 0.01650953104334733, 0.3369640468084809, 1.2926856425188875, 0.23417693682780172, 0.0, 0.10302407024217178, 0.0587871686767086, 0.08870883749538902]"
NSGA_II,261400,8,25.51392296352523,33.887352672545624,0.0,"[1.3247481227726987, 10.644549765422544, 2.954691543257052, 3.0839882663317693, 4.317513690391208, 0.692222106363183, 1.083870692914251, 0.022088722712056252, 0.4167769124881752, 0.32143437422111215, 0.28222364850408316, 0.2768442523019743, 0.03837830366376783, 0.05459256218135208]"
NSGA_II,261400,9,15.089153949298307,115.09487152999928,0.0,"[1.5828486230446093, 3.5220819377524912, 0.9547348198999116, 1.1850012335684066, 4.683509272133037, 1.2418097571023534, 0.059973491713484706, 0.27235896103117274, 1.0048561601640928, 0.3197361445283318, 0.144926297575873, 0.05244571000589783, 0.026880784056230372, 0.037990756722415385]"
