method,seed,front_size,balanced_score,min_water,min_deficit,min_excess,evaluations,seconds
NSGA_II,261400,48,0.2196853690518855,4.770510396442479,0.0,0.0,3072,0.08715858400000798
NSGA_II,261401,47,0.21981120563804007,8.028241324744544,0.0,0.0,3072,0.06327106799994908
NSGA_II,261402,47,0.21926398075287795,8.125115077405829,0.0,0.0,3072,0.06500388199992813
NSGA_II,261403,46,0.21962742119663559,9.978250136064515,0.0,0.0,3072,0.06427601600000798
NSGA_II,261404,46,0.21935247491462176,6.971236120797706,0.0,0.0,3072,0.06712219500002448
NSGA_II,261405,47,0.21654778019031604,7.103907096139001,0.0,0.0,3072,0.06320606600002066
NSGA_II,261406,47,0.2193066186678256,7.291161906061957,0.0,0.0,3072,0.0651897900000904
NSGA_II,261407,47,0.21935680581773442,2.883709335877014,0.0,0.0,3072,0.06457762899992758
NSGA_II,261408,47,0.21928521540445814,12.422569619887765,0.0,0.0,3072,0.06720389800000248
NSGA_II,261409,47,0.21927915012497068,8.800520947605632,0.0,0.0,3072,0.06906177099995148
NSGA_II,261410,45,0.21929944944903404,5.837878244824855,0.0,0.0,3072,0.06574722700008806
NSGA_II,261411,47,0.21936337200252778,6.477727881707849,0.0,0.0,3072,0.06575324699997509
NSGA_II,261412,47,0.21924287346285484,4.011005611913245,0.0,0.0,3072,0.0668901060000735
NSGA_II,261413,47,0.2192981168515759,10.523903455273176,0.0,0.0,3072,0.06660171199996512
NSGA_II,261414,47,0.21961349936357966,5.865356055917808,0.0,0.0,3072,0.06616609699995024
NSGA_II,261415,47,0.2198179821250072,5.307572852673351,0.0,0.0,3072,0.06886960700001055
NSGA_II,261416,47,0.2193747138195762,7.1676550909491015,0.0,0.0,3072,0.0690513549999423
NSGA_II,261417,47,0.21935864880819494,8.997189103462944,0.0,0.0,3072,0.06798364999997375
NSGA_II,261418,46,0.21929663191364798,6.841612866537322,0.0,0.0,3072,0.06764305800004422
NSGA_II,261419,45,0.22015895376129768,5.440866434100708,0.0,0.0,3072,0.0667016129999638
weighted_balanced,261400,1,0.21508530988168664,35.08833969938328,1.743320601233453,0.0,3072,0.013077082999984668
weighted_balanced,261401,43,0.21508572763850714,35.08798872395325,1.7440224326920948,0.0,3072,0.013818456999956652
weighted_balanced,261402,1,0.21509331721911343,35.09269323202765,1.7383067679723432,0.0,3072,0.013032264999992549
weighted_balanced,261403,1,0.21508478893122535,35.08877729777073,1.7424454044585467,0.0,3072,0.01304094800002531
weighted_balanced,261404,1,0.21509846163991486,35.0772922224715,1.7654155550569932,0.0,3072,0.013706409000064923
weighted_balanced,261405,38,0.2150845238101945,35.088999992193166,1.7419999954958563,0.0,3072,0.013857406000056471
weighted_balanced,261406,1,0.2150910219464887,35.08354156494951,1.7529168701009787,0.0,3072,0.013017783999998755
weighted_balanced,261407,38,0.21508452380953072,35.08899998639072,1.7419999938720316,0.0,3072,0.01388220400008322
weighted_balanced,261408,2,0.21508551126401243,35.08649398007665,1.7415852691147684,0.0,3072,0.012639014000001225
weighted_balanced,261409,25,0.21508452392874292,35.08899930295682,1.7419996017712052,0.0,3072,0.016799680999952216
weighted_balanced,261410,1,0.21508789535081468,35.08616790531562,1.7476641893687521,0.0,3072,0.013488350999978138
weighted_balanced,261411,44,0.21508452381010407,35.088999986394235,1.741999996351975,0.0,3072,0.014468254999997043
weighted_balanced,261412,1,0.2150981081555202,35.07758914936298,1.7648217012740197,0.0,3072,0.013988623000045664
weighted_balanced,261413,1,0.21508488930069367,35.08869298741735,1.742614025165306,0.0,3072,0.013280419000011534
weighted_balanced,261414,1,0.21508470582412353,35.08884710773617,1.742305784527641,0.0,3072,0.01305733300000611
weighted_balanced,261415,43,0.21508461356005032,35.088924457491125,1.7421507808845398,0.0,3072,0.015302308999935121
weighted_balanced,261416,1,0.21508507697364113,35.088535342141405,1.7429293157171735,0.0,3072,0.013958517999981268
weighted_balanced,261417,39,0.21508452380953016,35.08899999236863,1.7419999954658358,0.0,3072,0.013282400999969468
weighted_balanced,261418,1,0.21508559453463613,35.08810059090566,1.743798818188683,0.0,3072,0.014223978000018178
weighted_balanced,261419,4,0.21508474147848397,35.0887151201153,1.741857542252145,0.0,3072,0.014135634000012942
weighted_water,261400,9,0.8015130636660075,0.00474110234395106,224.4097858121952,0.0,3072,0.013016090999940388
weighted_water,261401,14,0.8011936050154674,0.011040185735158817,224.2908277261945,0.0,3072,0.012893496000060622
weighted_water,261402,13,0.801555372165662,0.0012484014628939629,224.43097588824907,0.0,3072,0.013321991999987404
weighted_water,261403,8,0.8012599747589204,0.01790384588007341,224.2933062476137,0.0,3072,0.013470393999909902
weighted_water,261404,10,0.8013738862082846,0.002960424754610424,224.3664088953555,0.0,3072,0.012668447999999444
